ID,Actor_ID,Centrality
1,nm0000212,0.0009819090692692216
2,nm0413168,0.0022911211616281836
3,nm0000630,0.0020828374196619854
4,nm0005227,0.0009521542489883361
5,nm0864851,8.926446084265651e-05
6,nm0828288,0.003897881456796001
7,nm0933983,8.926446084265651e-05
8,nm0329491,8.926446084265651e-05
9,nm0000417,0.0015174958343251606
10,nm0000603,0.00119019281123542
11,nm0000457,0.0016662699357295882
12,nm0452288,0.00035705784337062603
13,nm0001002,0.005921209235896215
14,nm0001299,8.926446084265651e-05
15,nm0923529,0.00026779338252796953
16,nm0936365,8.926446084265651e-05
17,nm0006763,0.0014877410140442752
18,nm0007113,0.0009521542489883361
19,nm0310173,8.926446084265651e-05
20,nm0412917,0.0008926446084265652
21,nm1142237,0.00020828374196619852
22,nm0321320,0.00020828374196619852
23,nm0001123,0.000297548202808855
24,nm0898634,0.00119019281123542
25,nm0269451,0.00020828374196619852
26,nm0803374,0.00020828374196619852
27,nm1315804,0.00020828374196619852
28,nm0803138,0.00020828374196619852
29,nm0001324,0.0011604379909545346
30,nm0920148,8.926446084265651e-05
31,nm0115304,8.926446084265651e-05
32,nm0203349,8.926446084265651e-05
33,nm0427470,8.926446084265651e-05
34,nm0001293,0.0010414187098309927
35,nm0001062,0.0011306831706736492
36,nm0732133,0.00017852892168531301
37,nm0000199,0.0018150440371340157
38,nm0001583,8.926446084265651e-05
39,nm0283299,8.926446084265651e-05
40,nm0568375,8.926446084265651e-05
41,nm0000849,0.0015770054748869317
42,nm0603090,0.00026779338252796953
43,nm0098709,0.00017852892168531301
44,nm0617799,8.926446084265651e-05
45,nm0089231,8.926446084265651e-05
46,nm0175305,0.00035705784337062603
47,nm0001497,0.0009223994287074506
48,nm0000138,0.0015174958343251606
49,nm0000639,0.0006248512258985956
50,nm0641168,0.0013687217329207333
51,nm0377888,8.926446084265651e-05
52,nm0290969,8.926446084265651e-05
53,nm0000461,0.0027969531064032374
54,nm0001781,8.926446084265651e-05
55,nm0002150,8.926446084265651e-05
56,nm0463233,8.926446084265651e-05
57,nm0001108,0.002201856700785527
58,nm0001456,8.926446084265651e-05
59,nm0852082,8.926446084265651e-05
60,nm1325216,8.926446084265651e-05
61,nm0000450,0.0018150440371340157
62,nm0000513,0.0018745536776957868
63,nm0682071,0.00041656748393239704
64,nm0383449,8.926446084265651e-05
65,nm0424682,8.926446084265651e-05
66,nm0507915,8.926446084265651e-05
67,nm0839486,0.00035705784337062603
68,nm0000154,0.0021125922399428706
69,nm0768018,0.00035705784337062603
70,nm0200057,0.00017852892168531301
71,nm0272521,8.926446084265651e-05
72,nm0344435,0.0009521542489883361
73,nm0004821,0.0008033801475839086
74,nm0262635,0.0022613663413472984
75,nm0004695,0.0018745536776957868
76,nm0000161,0.0021423470602237563
77,nm0000547,0.002172101880504642
78,nm0001691,0.0016662699357295882
79,nm0535502,0.0005355867650559391
80,nm0000136,0.0024994049035943823
81,nm0001287,0.002826707926684123
82,nm0000453,0.0005653415853368246
83,nm0001059,0.00026779338252796953
84,nm0565569,0.0013687217329207333
85,nm0364977,0.0005355867650559391
86,nm0000594,0.00035705784337062603
87,nm0941315,8.926446084265651e-05
88,nm0000704,0.0018745536776957868
89,nm0005212,0.0013984765532016187
90,nm0089217,0.0013092120923589622
91,nm0000293,0.002023327779100214
92,nm0001111,0.0007141156867412521
93,nm0000170,0.0017555343965722447
94,nm0001751,0.00026779338252796953
95,nm0000129,0.0016960247560104736
96,nm0779084,0.0013984765532016187
97,nm0628601,0.0017555343965722447
98,nm0000609,0.002707688645560581
99,nm0735442,0.001606760295167817
100,nm1011675,8.926446084265651e-05
101,nm0668994,8.926446084265651e-05
102,nm0000228,0.0018447988574149012
103,nm0000194,0.0032730302308974055
104,nm0001132,0.001606760295167817
105,nm0000949,0.0031540109497738633
106,nm0184392,0.0033027850511782907
107,nm0566044,0.0001487741014044275
108,nm0007940,0.00017852892168531301
109,nm0120494,0.0014877410140442752
110,nm0001772,0.0014877410140442752
111,nm0000463,0.0021125922399428706
112,nm0000169,0.0018150440371340157
113,nm0000226,0.0019340633182575576
114,nm0001800,0.0010711735301118781
115,nm0001223,0.00035705784337062603
116,nm0000354,0.003064746488931207
117,nm0000106,0.0016662699357295882
118,nm0000597,0.0020828374196619854
119,nm0108028,0.00017852892168531301
120,nm0005450,0.00059509640561771
121,nm0000422,0.0025886693644370387
122,nm0457755,8.926446084265651e-05
123,nm0911320,0.0012794572720780766
124,nm0000307,0.0016365151154487027
125,nm0001833,0.0019638181385384433
126,nm0001808,0.0005355867650559391
127,nm0222881,0.006427041180671268
128,nm3083522,0.00020828374196619852
129,nm4024721,8.926446084265651e-05
130,nm2741355,8.926446084265651e-05
131,nm0159789,0.0014579861937633898
132,nm0000204,0.0022911211616281836
133,nm0000191,0.0033027850511782907
134,nm0000489,0.00032730302308974055
135,nm0000168,0.00443346822185194
136,nm0000454,0.0016960247560104736
137,nm0005420,0.0011306831706736492
138,nm0347957,0.00017852892168531301
139,nm0001735,0.0005653415853368246
